h,t,exacta,segunda_derivada,error
1,0,-1,-0.919395,0.0806046
1,0.01,-0.99995,-0.919349,0.0806006
1,0.02,-0.9998,-0.919212,0.0805885
1,0.03,-0.99955,-0.918982,0.0805683
1,0.04,-0.9992,-0.91866,0.0805401
1,0.05,-0.99875,-0.918246,0.0805039
1,0.06,-0.998201,-0.917741,0.0804596
1,0.07,-0.997551,-0.917144,0.0804072
1,0.08,-0.996802,-0.916455,0.0803468
1,0.09,-0.995953,-0.915674,0.0802784
1,0.1,-0.995004,-0.914802,0.0802019
1,0.11,-0.993956,-0.913839,0.0801174
1,0.12,-0.992809,-0.912784,0.080025
1,0.13,-0.991562,-0.911637,0.0799245
1,0.14,-0.990216,-0.9104,0.079816
1,0.15,-0.988771,-0.909072,0.0796995
1,0.16,-0.987227,-0.907652,0.0795751
1,0.17,-0.985585,-0.906142,0.0794427
1,0.18,-0.983844,-0.904541,0.0793023
1,0.19,-0.982004,-0.90285,0.0791541
1,0.2,-0.980067,-0.901069,0.0789979
1,0.21,-0.978031,-0.899197,0.0788338
1,0.22,-0.975897,-0.897236,0.0786618
1,0.23,-0.973666,-0.895184,0.078482
1,0.24,-0.971338,-0.893044,0.0782943
1,0.25,-0.968912,-0.890814,0.0780988
1,0.26,-0.96639,-0.888494,0.0778955
1,0.27,-0.963771,-0.886087,0.0776844
1,0.28,-0.961055,-0.88359,0.0774655
1,0.29,-0.958244,-0.881005,0.0772389
1,0.3,-0.955336,-0.878332,0.0770045
1,0.31,-0.952334,-0.875571,0.0767625
1,0.32,-0.949235,-0.872723,0.0765128
1,0.33,-0.946042,-0.869787,0.0762554
1,0.34,-0.942755,-0.866764,0.0759904
1,0.35,-0.939373,-0.863655,0.0757178
1,0.36,-0.935897,-0.860459,0.0754376
1,0.37,-0.932327,-0.857177,0.0751499
1,0.38,-0.928665,-0.85381,0.0748547
1,0.39,-0.924909,-0.850357,0.0745519
1,0.4,-0.921061,-0.846819,0.0742418
1,0.41,-0.917121,-0.843197,0.0739242
1,0.42,-0.913089,-0.83949,0.0735992
1,0.43,-0.908966,-0.835699,0.0732668
1,0.44,-0.904752,-0.831825,0.0729272
1,0.45,-0.900447,-0.827867,0.0725802
1,0.46,-0.896052,-0.823827,0.072226
1,0.47,-0.891568,-0.819704,0.0718645
1,0.48,-0.886995,-0.815499,0.0714959
1,0.49,-0.882333,-0.811213,0.0711201
1,0.5,-0.877583,-0.806845,0.0707372
1,0.51,-0.872745,-0.802397,0.0703472
1,0.52,-0.867819,-0.797869,0.0699502
1,0.53,-0.862807,-0.793261,0.0695462
1,0.54,-0.857709,-0.788573,0.0691353
1,0.55,-0.852525,-0.783807,0.0687174
1,0.56,-0.847255,-0.778962,0.0682927
1,0.57,-0.841901,-0.77404,0.0678611
1,0.58,-0.836463,-0.76904,0.0674227
1,0.59,-0.830941,-0.763963,0.0669777
1,0.6,-0.825336,-0.75881,0.0665259
1,0.61,-0.819648,-0.753581,0.0660674
1,0.62,-0.813878,-0.748276,0.0656024
1,0.63,-0.808028,-0.742897,0.0651307
1,0.64,-0.802096,-0.737443,0.0646526
1,0.65,-0.796084,-0.731916,0.064168
1,0.66,-0.789992,-0.726315,0.063677
1,0.67,-0.783822,-0.720642,0.0631796
1,0.68,-0.777573,-0.714897,0.0626759
1,0.69,-0.771246,-0.70908,0.062166
1,0.7,-0.764842,-0.703192,0.0616498
1,0.71,-0.758362,-0.697234,0.0611275
1,0.72,-0.751806,-0.691207,0.060599
1,0.73,-0.745174,-0.68511,0.0600645
1,0.74,-0.738469,-0.678945,0.059524
1,0.75,-0.731689,-0.672711,0.0589775
1,0.76,-0.724836,-0.666411,0.0584251
1,0.77,-0.717911,-0.660044,0.0578669
1,0.78,-0.710914,-0.653611,0.0573029
1,0.79,-0.703845,-0.647112,0.0567332
1,0.8,-0.696707,-0.640549,0.0561578
1,0.81,-0.689498,-0.633922,0.0555768
1,0.82,-0.682221,-0.627231,0.0549902
1,0.83,-0.674876,-0.620478,0.0543981
1,0.84,-0.667463,-0.613662,0.0538006
1,0.85,-0.659983,-0.606785,0.0531977
1,0.86,-0.652437,-0.599848,0.0525895
1,0.87,-0.644827,-0.592851,0.051976
1,0.88,-0.637151,-0.585794,0.0513573
1,0.89,-0.629412,-0.578679,0.0507335
1,0.9,-0.62161,-0.571505,0.0501046
1,0.91,-0.613746,-0.564275,0.0494707
1,0.92,-0.60582,-0.556988,0.0488319
1,0.93,-0.597834,-0.549646,0.0481882
1,0.94,-0.589788,-0.542248,0.0475396
1,0.95,-0.581683,-0.534797,0.0468863
1,0.96,-0.57352,-0.527292,0.0462284
1,0.97,-0.5653,-0.519734,0.0455657
1,0.98,-0.557023,-0.512124,0.0448986
1,0.99,-0.54869,-0.504463,0.0442269
1,1,-0.540302,-0.496751,0.0435509
1,1.01,-0.531861,-0.48899,0.0428704
1,1.02,-0.523366,-0.48118,0.0421857
1,1.03,-0.514819,-0.473322,0.0414968
1,1.04,-0.50622,-0.465417,0.0408037
1,1.05,-0.497571,-0.457465,0.0401065
1,1.06,-0.488872,-0.449467,0.0394053
1,1.07,-0.480124,-0.441424,0.0387002
1,1.08,-0.471328,-0.433337,0.0379912
1,1.09,-0.462485,-0.425207,0.0372785
1,1.1,-0.453596,-0.417034,0.0365619
1,1.11,-0.444662,-0.40882,0.0358418
1,1.12,-0.435682,-0.400564,0.035118
1,1.13,-0.42666,-0.392269,0.0343907
1,1.14,-0.417595,-0.383934,0.03366
1,1.15,-0.408487,-0.375561,0.032926
1,1.16,-0.39934,-0.367151,0.0321886
1,1.17,-0.390152,-0.358704,0.031448
1,1.18,-0.380925,-0.350221,0.0307043
1,1.19,-0.37166,-0.341702,0.0299575
1,1.2,-0.362358,-0.33315,0.0292077
1,1.21,-0.353019,-0.324564,0.028455
1,1.22,-0.343646,-0.315946,0.0276994
1,1.23,-0.334238,-0.307297,0.0269411
1,1.24,-0.324796,-0.298616,0.0261801
1,1.25,-0.315322,-0.289906,0.0254164
1,1.26,-0.305817,-0.281167,0.0246503
1,1.27,-0.296281,-0.272399,0.0238816
1,1.28,-0.286715,-0.263605,0.0231106
1,1.29,-0.277121,-0.254784,0.0223372
1,1.3,-0.267499,-0.245937,0.0215616
1,1.31,-0.25785,-0.237066,0.0207839
1,1.32,-0.248175,-0.228171,0.0200041
1,1.33,-0.238476,-0.219254,0.0192223
1,1.34,-0.228753,-0.210314,0.0184385
1,1.35,-0.219007,-0.201354,0.0176529
1,1.36,-0.209239,-0.192373,0.0168656
1,1.37,-0.19945,-0.183373,0.0160766
1,1.38,-0.189641,-0.174355,0.0152859
1,1.39,-0.179813,-0.165319,0.0144938
1,1.4,-0.169967,-0.156267,0.0137001
1,1.41,-0.160104,-0.147199,0.0129051
1,1.42,-0.150225,-0.138117,0.0121089
1,1.43,-0.140332,-0.12902,0.0113114
1,1.44,-0.130424,-0.119911,0.0105128
1,1.45,-0.120503,-0.11079,0.00971308
1,1.46,-0.11057,-0.101657,0.00891243
1,1.47,-0.100626,-0.0925148,0.0081109
1,1.48,-0.0906716,-0.0833631,0.00730855
1,1.49,-0.0807084,-0.074203,0.00650547
1,1.5,-0.0707372,-0.0650355,0.00570174
1,1.51,-0.0607589,-0.0558614,0.00489745
1,1.52,-0.0507745,-0.0466818,0.00409266
1,1.53,-0.040785,-0.0374976,0.00328746
1,1.54,-0.0307915,-0.0283095,0.00248193
1,1.55,-0.0207948,-0.0191187,0.00167616
1,1.56,-0.0107961,-0.0099259,0.000870217
1,1.57,-0.000796327,-0.000732139,6.41876e-05
1,1.58,0.00920354,0.0084617,0.000741848
1,1.59,0.0192025,0.0176547,0.00154781
1,1.6,0.0291995,0.0268459,0.00235362
1,1.61,0.0391936,0.0360344,0.00315919
1,1.62,0.0491838,0.0452194,0.00396444
1,1.63,0.0591691,0.0543998,0.0047693
1,1.64,0.0691484,0.0635748,0.00557368
1,1.65,0.0791209,0.0727434,0.00637751
1,1.66,0.0890854,0.0819047,0.0071807
1,1.67,0.099041,0.0910579,0.00798316
1,1.68,0.108987,0.100202,0.00878483
1,1.69,0.118922,0.109336,0.00958563
1,1.7,0.128844,0.118459,0.0103855
1,1.71,0.138755,0.12757,0.0111843
1,1.72,0.148651,0.136669,0.0119819
1,1.73,0.158532,0.145754,0.0127784
1,1.74,0.168397,0.154824,0.0135736
1,1.75,0.178246,0.163879,0.0143675
1,1.76,0.188077,0.172917,0.0151599
1,1.77,0.197889,0.181938,0.0159508
1,1.78,0.207681,0.190941,0.01674
1,1.79,0.217452,0.199925,0.0175277
1,1.8,0.227202,0.208889,0.0183135
1,1.81,0.236929,0.217831,0.0190976
1,1.82,0.246632,0.226753,0.0198797
1,1.83,0.256311,0.235651,0.0206598
1,1.84,0.265964,0.244526,0.0214379
1,1.85,0.27559,0.253376,0.0222138
1,1.86,0.285189,0.262202,0.0229876
1,1.87,0.294759,0.271,0.023759
1,1.88,0.3043,0.279772,0.024528
1,1.89,0.313811,0.288516,0.0252946
1,1.9,0.32329,0.297231,0.0260586
1,1.91,0.332736,0.305916,0.0268201
1,1.92,0.34215,0.314571,0.0275788
1,1.93,0.351529,0.323194,0.0283348
1,1.94,0.360873,0.331785,0.029088
1,1.95,0.370181,0.340343,0.0298383
1,1.96,0.379452,0.348866,0.0305856
1,1.97,0.388685,0.357355,0.0313298
1,1.98,0.397879,0.365808,0.0320709
1,1.99,0.407033,0.374224,0.0328088
1,2,0.416147,0.382603,0.0335434
1,2.01,0.425219,0.390944,0.0342746
1,2.02,0.434248,0.399246,0.0350024
1,2.03,0.443234,0.407508,0.0357267
1,2.04,0.452176,0.415729,0.0364475
1,2.05,0.461073,0.423908,0.0371646
1,2.06,0.469923,0.432045,0.037878
1,2.07,0.478727,0.440139,0.0385876
1,2.08,0.487482,0.448189,0.0392933
1,2.09,0.496189,0.456194,0.0399951
1,2.1,0.504846,0.464153,0.0406929
1,2.11,0.513453,0.472066,0.0413867
1,2.12,0.522008,0.479932,0.0420763
