h,t,exacta,forward,central,extrapolada,error_forward,error_central,error_extrapolada
1,-5,1.38879e-10,1.12521e-07,1.60516e-09,-1.1407e-10,1.12382e-07,1.46628e-09,2.52949e-10
1,-4.99,1.53163e-10,1.2188e-07,1.75614e-09,-1.22522e-10,1.21727e-07,1.60298e-09,2.75685e-10
1,-4.98,1.68882e-10,1.31991e-07,1.92095e-09,-1.31517e-10,1.31823e-07,1.75207e-09,3.00399e-10
1,-4.97,1.86175e-10,1.42913e-07,2.1008e-09,-1.4108e-10,1.42727e-07,1.91462e-09,3.27255e-10
1,-4.96,2.05198e-10,1.54707e-07,2.29703e-09,-1.51236e-10,1.54502e-07,2.09183e-09,3.56433e-10
1,-4.95,2.26118e-10,1.67441e-07,2.51109e-09,-1.62009e-10,1.67215e-07,2.28497e-09,3.88127e-10
1,-4.94,2.4912e-10,1.81186e-07,2.74454e-09,-1.73426e-10,1.80937e-07,2.49542e-09,4.22545e-10
1,-4.93,2.74406e-10,1.96021e-07,2.9991e-09,-1.85508e-10,1.95747e-07,2.7247e-09,4.59914e-10
1,-4.92,3.02196e-10,2.12029e-07,3.27662e-09,-1.9828e-10,2.11726e-07,2.97442e-09,5.00476e-10
1,-4.91,3.32734e-10,2.29297e-07,3.5791e-09,-2.11761e-10,2.28964e-07,3.24637e-09,5.44494e-10
1,-4.9,3.66282e-10,2.47922e-07,3.90872e-09,-2.25971e-10,2.47556e-07,3.54244e-09,5.92252e-10
1,-4.89,4.03131e-10,2.68007e-07,4.26785e-09,-2.40926e-10,2.67604e-07,3.86472e-09,6.44056e-10
1,-4.88,4.43596e-10,2.8966e-07,4.65903e-09,-2.5664e-10,2.89217e-07,4.21544e-09,7.00236e-10
1,-4.87,4.88023e-10,3.13001e-07,5.08506e-09,-2.73123e-10,3.12513e-07,4.59704e-09,7.61146e-10
1,-4.86,5.3679e-10,3.38154e-07,5.54893e-09,-2.9038e-10,3.37618e-07,5.01214e-09,8.2717e-10
1,-4.85,5.9031e-10,3.65256e-07,6.05391e-09,-3.08411e-10,3.64666e-07,5.4636e-09,8.9872e-10
1,-4.84,6.49033e-10,3.94451e-07,6.60352e-09,-3.27209e-10,3.93802e-07,5.95449e-09,9.76242e-10
1,-4.83,7.13452e-10,4.25895e-07,7.20159e-09,-3.46762e-10,4.25181e-07,6.48814e-09,1.06021e-09
1,-4.82,7.84104e-10,4.59753e-07,7.85226e-09,-3.67046e-10,4.58969e-07,7.06815e-09,1.15115e-09
1,-4.81,8.61578e-10,4.96203e-07,8.55999e-09,-3.8803e-10,4.95342e-07,7.69842e-09,1.24961e-09
1,-4.8,9.46513e-10,5.35436e-07,9.32966e-09,-4.09671e-10,5.3449e-07,8.38314e-09,1.35618e-09
1,-4.79,1.03961e-09,5.77656e-07,1.01665e-08,-4.3191e-10,5.76616e-07,9.12688e-09,1.47152e-09
1,-4.78,1.14163e-09,6.2308e-07,1.10762e-08,-4.54677e-10,6.21938e-07,9.93454e-09,1.5963e-09
1,-4.77,1.2534e-09,6.71941e-07,1.20648e-08,-4.77882e-10,6.70687e-07,1.08114e-08,1.73128e-09
1,-4.76,1.37583e-09,7.24489e-07,1.31391e-08,-5.01417e-10,7.23113e-07,1.17633e-08,1.87725e-09
1,-4.75,1.50992e-09,7.8099e-07,1.43062e-08,-5.2515e-10,7.7948e-07,1.27962e-08,2.03507e-09
1,-4.74,1.65674e-09,8.41729e-07,1.55738e-08,-5.48926e-10,8.40072e-07,1.39171e-08,2.20566e-09
1,-4.73,1.81746e-09,9.07011e-07,1.69503e-08,-5.72561e-10,9.05193e-07,1.51329e-08,2.39002e-09
1,-4.72,1.99336e-09,9.77159e-07,1.84449e-08,-5.95837e-10,9.75166e-07,1.64515e-08,2.5892e-09
1,-4.71,2.18584e-09,1.05252e-06,2.00672e-08,-6.18502e-10,1.05034e-06,1.78813e-08,2.80434e-09
1,-4.7,2.39642e-09,1.13347e-06,2.18278e-08,-6.40264e-10,1.13108e-06,1.94314e-08,3.03668e-09
1,-4.69,2.62675e-09,1.2204e-06,2.37381e-08,-6.60783e-10,1.21778e-06,2.11114e-08,3.28753e-09
1,-4.68,2.87862e-09,1.31374e-06,2.58105e-08,-6.79671e-10,1.31086e-06,2.29318e-08,3.55829e-09
1,-4.67,3.154e-09,1.41393e-06,2.80581e-08,-6.96482e-10,1.41077e-06,2.49041e-08,3.85048e-09
1,-4.66,3.45502e-09,1.52145e-06,3.04954e-08,-7.10706e-10,1.518e-06,2.70404e-08,4.16573e-09
1,-4.65,3.78399e-09,1.63683e-06,3.31378e-08,-7.21764e-10,1.63305e-06,2.93538e-08,4.50576e-09
1,-4.64,4.14344e-09,1.7606e-06,3.60019e-08,-7.28997e-10,1.75646e-06,3.18585e-08,4.87244e-09
1,-4.63,4.53611e-09,1.89336e-06,3.91058e-08,-7.31659e-10,1.88882e-06,3.45697e-08,5.26777e-09
1,-4.62,4.96497e-09,2.03571e-06,4.24688e-08,-7.28907e-10,2.03075e-06,3.75038e-08,5.69388e-09
1,-4.61,5.43327e-09,2.18834e-06,4.61117e-08,-7.1979e-10,2.1829e-06,4.06784e-08,6.15306e-09
1,-4.6,5.94452e-09,2.35193e-06,5.00571e-08,-7.03239e-10,2.34598e-06,4.41126e-08,6.64776e-09
1,-4.59,6.50254e-09,2.52725e-06,5.43292e-08,-6.78051e-10,2.52074e-06,4.78267e-08,7.18059e-09
1,-4.58,7.11149e-09,2.71509e-06,5.89542e-08,-6.42877e-10,2.70798e-06,5.18427e-08,7.75437e-09
1,-4.57,7.77588e-09,2.91631e-06,6.396e-08,-5.96207e-10,2.90853e-06,5.61842e-08,8.37208e-09
1,-4.56,8.50059e-09,3.13182e-06,6.93771e-08,-5.36354e-10,3.12332e-06,6.08765e-08,9.03694e-09
1,-4.55,9.29094e-09,3.36257e-06,7.52378e-08,-4.6143e-10,3.35328e-06,6.59469e-08,9.75237e-09
1,-4.54,1.01527e-08,3.60961e-06,8.15774e-08,-3.69334e-10,3.59946e-06,7.14247e-08,1.0522e-08
1,-4.53,1.10921e-08,3.87403e-06,8.84334e-08,-2.57724e-10,3.86294e-06,7.73413e-08,1.13498e-08
1,-4.52,1.2116e-08,4.15698e-06,9.58464e-08,-1.23996e-10,4.14486e-06,8.37305e-08,1.224e-08
1,-4.51,1.32316e-08,4.4597e-06,1.0386e-07,3.47456e-11,4.44647e-06,9.06285e-08,1.31969e-08
1,-4.5,1.44471e-08,4.78351e-06,1.12521e-07,2.21712e-10,4.76907e-06,9.80742e-08,1.42253e-08
1,-4.49,1.57709e-08,5.12981e-06,1.2188e-07,4.40465e-10,5.11404e-06,1.06109e-07,1.53304e-08
1,-4.48,1.72125e-08,5.50007e-06,1.31991e-07,6.94949e-10,5.48286e-06,1.14779e-07,1.65176e-08
1,-4.47,1.8782e-08,5.89588e-06,1.42913e-07,9.89531e-10,5.8771e-06,1.24131e-07,1.77925e-08
1,-4.46,2.04905e-08,6.31891e-06,1.54707e-07,1.32904e-09,6.29842e-06,1.34216e-07,1.91615e-08
1,-4.45,2.23498e-08,6.77094e-06,1.67441e-07,1.7188e-09,6.74859e-06,1.45091e-07,2.0631e-08
1,-4.44,2.43728e-08,7.25385e-06,1.81186e-07,2.1647e-09,7.22948e-06,1.56814e-07,2.22081e-08
1,-4.43,2.65735e-08,7.76965e-06,1.96021e-07,2.67322e-09,7.74307e-06,1.69448e-07,2.39002e-08
1,-4.42,2.89669e-08,8.32045e-06,2.12029e-07,3.25153e-09,8.29149e-06,1.83062e-07,2.57153e-08
1,-4.41,3.15694e-08,8.90853e-06,2.29297e-07,3.90749e-09,8.87696e-06,1.97728e-07,2.76619e-08
1,-4.4,3.43987e-08,9.53625e-06,2.47922e-07,4.64977e-09,9.50186e-06,2.13524e-07,2.97489e-08
1,-4.39,3.74738e-08,1.02062e-05,2.68007e-07,5.48789e-09,1.01687e-05,2.30533e-07,3.19859e-08
1,-4.38,4.08155e-08,1.0921e-05,2.8966e-07,6.43231e-09,1.08801e-05,2.48845e-07,3.43832e-08
