n,h,integral_punto_medio,error_punto_medio
1,1,1.64872,0.0695606
2,0.5,1.70051,0.0177691
3,0.333333,1.71035,0.0079293
4,0.25,1.71382,0.00446655
5,0.2,1.71542,0.00286047
6,0.166667,1.71629,0.00198714
7,0.142857,1.71682,0.00146025
8,0.125,1.71716,0.00111816
9,0.111111,1.7174,0.000883572
10,0.1,1.71757,0.000715742
11,0.0909091,1.71769,0.000591552
12,0.0833333,1.71778,0.000497087
13,0.0769231,1.71786,0.000423566
14,0.0714286,1.71792,0.000365227
15,0.0666667,1.71796,0.000318159
16,0.0625,1.718,0.000279636
17,0.0588235,1.71803,0.000247709
18,0.0555556,1.71806,0.000220953
19,0.0526316,1.71808,0.000198308
20,0.05,1.7181,0.000178975
21,0.047619,1.71812,0.000162336
22,0.0454545,1.71813,0.000147915
23,0.0434783,1.71815,0.000135333
24,0.0416667,1.71816,0.000124291
25,0.04,1.71817,0.000114547
26,0.0384615,1.71818,0.000105905
27,0.037037,1.71818,9.82061e-005
28,0.0357143,1.71819,9.13169e-005
29,0.0344828,1.7182,8.51279e-005
30,0.0333333,1.7182,7.95475e-005
31,0.0322581,1.71821,7.44983e-005
32,0.03125,1.71821,6.99151e-005
33,0.030303,1.71822,6.57421e-005
34,0.0294118,1.71822,6.19319e-005
35,0.0285714,1.71822,5.84436e-005
36,0.0277778,1.71823,5.52419e-005
37,0.027027,1.71823,5.22962e-005
38,0.0263158,1.71823,4.95801e-005
39,0.025641,1.71823,4.70702e-005
40,0.025,1.71824,4.47461e-005
41,0.0243902,1.71824,4.259e-005
42,0.0238095,1.71824,4.05861e-005
43,0.0232558,1.71824,3.87204e-005
44,0.0227273,1.71824,3.69804e-005
45,0.0222222,1.71825,3.53551e-005
46,0.0217391,1.71825,3.38346e-005
47,0.0212766,1.71825,3.24102e-005
48,0.0208333,1.71825,3.10739e-005
49,0.0204082,1.71825,2.98185e-005
50,0.02,1.71825,2.86377e-005
51,0.0196078,1.71825,2.75257e-005
52,0.0192308,1.71826,2.64772e-005
53,0.0188679,1.71826,2.54875e-005
54,0.0185185,1.71826,2.45522e-005
55,0.0181818,1.71826,2.36676e-005
56,0.0178571,1.71826,2.28299e-005
57,0.0175439,1.71826,2.20358e-005
58,0.0172414,1.71826,2.12825e-005
59,0.0169492,1.71826,2.05672e-005
60,0.0166667,1.71826,1.98874e-005
61,0.0163934,1.71826,1.92407e-005
62,0.016129,1.71826,1.8625e-005
63,0.015873,1.71826,1.80384e-005
64,0.015625,1.71826,1.74791e-005
65,0.0153846,1.71826,1.69455e-005
66,0.0151515,1.71827,1.64359e-005
67,0.0149254,1.71827,1.59489e-005
68,0.0147059,1.71827,1.54833e-005
69,0.0144928,1.71827,1.50377e-005
70,0.0142857,1.71827,1.46112e-005
71,0.0140845,1.71827,1.42025e-005
72,0.0138889,1.71827,1.38107e-005
73,0.0136986,1.71827,1.34349e-005
74,0.0135135,1.71827,1.30743e-005
75,0.0133333,1.71827,1.27279e-005
76,0.0131579,1.71827,1.23952e-005
77,0.012987,1.71827,1.20753e-005
78,0.0128205,1.71827,1.17677e-005
79,0.0126582,1.71827,1.14717e-005
80,0.0125,1.71827,1.11867e-005
81,0.0123457,1.71827,1.09122e-005
